dataset,model,samples,num_classes,accuracy,macro_f1
20 Newsgroups,BGE-M3,2000,20,51.9,51.031937063831734
20 Newsgroups,E5-large,2000,20,50.74999999999999,49.23669189195354
20 Newsgroups,INSTRUCTOR,2000,20,61.650000000000006,59.857155274248576
20 Newsgroups,Jina v5,2000,20,57.9,56.862910205240425
20 Newsgroups,MPNet,2000,20,58.8,56.817576660263406
20 Newsgroups,Nomic-MoE,2000,20,53.75,52.29726587954847
AG News,BGE-M3,1000,4,77.60000000000001,77.09118510002962
AG News,E5-large,1000,4,83.2,83.05751171563388
AG News,INSTRUCTOR,1000,4,85.1,85.1002820088341
AG News,Jina v5,1000,4,80.10000000000001,79.67590735664761
AG News,MPNet,1000,4,83.1,82.88604697054294
AG News,Nomic-MoE,1000,4,80.7,80.36964473806611
AG News,Qwen3,1000,4,78.5,78.15515498807927
Banking77,BGE-M3,1000,77,69.69999999999999,67.885998672297
Banking77,E5-large,1000,77,59.099999999999994,58.064351136266104
Banking77,INSTRUCTOR,1000,77,61.6,60.66507894476227
Banking77,Jina v5,1000,77,72.1,70.79888000926832
Banking77,MPNet,1000,77,63.1,61.25585826650537
Banking77,Nomic-MoE,1000,77,67.30000000000001,65.07510004029645
Banking77,Qwen3,1000,77,76.9,75.6063248867088
DBpedia-14,BGE-M3,1000,14,76.1,73.41899658967212
DBpedia-14,E5-large,1000,14,81.8,80.83499119225355
DBpedia-14,INSTRUCTOR,1000,14,82.1,80.23378715984782
DBpedia-14,Jina v5,1000,14,75.2,73.91215242160189
DBpedia-14,MPNet,1000,14,79.60000000000001,77.58789502561233
DBpedia-14,Nomic-MoE,1000,14,78.7,77.12575560971916
DBpedia-14,Qwen3,1000,14,83.8,82.97367293924144
GoEmotions,BGE-M3,1000,28,21.7,20.154417634796985
GoEmotions,E5-large,1000,28,16.400000000000002,17.424274886960927
GoEmotions,INSTRUCTOR,1000,28,19.2,20.410344994785095
GoEmotions,Jina v5,1000,28,21.2,22.44141567117999
GoEmotions,MPNet,1000,28,14.499999999999998,14.762546162639168
GoEmotions,Nomic-MoE,1000,28,14.499999999999998,14.520033370603095
GoEmotions,Qwen3,1000,28,17.7,20.980256990282207
IMDB,BGE-M3,1000,2,85.39999999999999,85.32810772786654
IMDB,E5-large,1000,2,90.60000000000001,90.54246032863944
IMDB,INSTRUCTOR,1000,2,89.0,88.92914653784219
IMDB,Jina v5,1000,2,87.3,87.24273262676154
IMDB,MPNet,1000,2,62.2,55.581877405981636
IMDB,Nomic-MoE,1000,2,78.10000000000001,76.97545836185118
IMDB,Qwen3,1000,2,89.7,89.65629785845196
SST-2,BGE-M3,872,2,86.0091743119266,85.98787189092077
SST-2,E5-large,872,2,86.92660550458714,86.92220257640818
SST-2,INSTRUCTOR,872,2,85.6651376146789,85.62686010187788
SST-2,Jina v5,872,2,80.61926605504587,80.61618150561057
SST-2,MPNet,872,2,72.01834862385321,70.74388801804032
SST-2,Nomic-MoE,872,2,73.5091743119266,72.97139905133142
SST-2,Qwen3,872,2,89.90825688073394,89.9063453646217
Yahoo Answers,BGE-M3,1000,10,49.8,47.62212526949588
Yahoo Answers,E5-large,1000,10,50.4,47.952603701831585
Yahoo Answers,INSTRUCTOR,1000,10,52.900000000000006,53.98749353449045
Yahoo Answers,Jina v5,1000,10,48.199999999999996,47.338367976033986
Yahoo Answers,MPNet,1000,10,50.1,48.540036061514904
Yahoo Answers,Nomic-MoE,1000,10,49.3,47.785963185762746
Yahoo Answers,Qwen3,1000,10,52.6,50.035125126657164
Twitter Financial,BGE-M3,1000,3,39.800000000000004,42.17357171886853
Twitter Financial,E5-large,1000,3,49.3,50.81679432676379
Twitter Financial,INSTRUCTOR,1000,3,66.0,63.855876118636246
Twitter Financial,Jina v5,1000,3,40.8,44.35043562639612
Twitter Financial,MPNet,1000,3,60.5,56.948701052672845
Twitter Financial,Nomic-MoE,1000,3,47.599999999999994,47.8393968231521
Twitter Financial,Qwen3,1000,3,69.0,64.13158288512358
