experiment_name,macro_f1,accuracy,weighted_f1,num_samples,num_classes,dataset,model
agnews_instructor_large,0.851002820088341,0.851,0.8508688172995138,1000,,ag_news,
agnews_nomic_embed_v2_moe,0.8036964473806611,0.807,0.8041933523889636,1000,,ag_news,
ag_news_bge,0.7793750162345282,0.7854,0.7798244983818394,5000,,ag_news,
ag_news_e5,0.8428697349245167,0.8446,0.8432124003009067,5000,,ag_news,
ag_news_instructor,0.8486313614338461,0.8492,0.8490628476909305,5000,,ag_news,
ag_news_jina_v5,0.7986825371351141,0.804,0.7991557152349508,5000,,ag_news,
ag_news_mpnet,0.8109317080083798,0.814,0.8114768397841559,5000,,ag_news,
ag_news_qwen3,0.7798583545345026,0.7836,0.7801408140765723,5000,,ag_news,
ag_news_snowflake,0.7680501751209441,0.7664,0.7684246989339807,5000,,ag_news,
banking77_bge,0.6713321025193777,0.6847402597402598,0.6713321025193775,3080,,banking77,
banking77_e5,0.5904984330323424,0.5961038961038961,0.5904984330323423,3080,,banking77,
banking77_instructor,0.6174440833675868,0.6246753246753247,0.6174440833675867,3080,,banking77,
banking77_jina_v5,0.7073286017469934,0.7142857142857143,0.7073286017469934,3080,,banking77,
banking77_mpnet,0.6243322149050272,0.6360389610389611,0.6243322149050273,3080,,banking77,
banking77_qwen3,0.7442525255161972,0.750974025974026,0.7442525255161972,3080,,banking77,
banking77_snowflake,0.5028913632532622,0.5113636363636364,0.5028913632532622,3080,,banking77,
bge_full,0.7776077668538244,0.7830263157894737,0.7776077668538244,7600,,ag_news,
dbpedia_14_bge,0.7562273984701733,0.776,0.7593899932340598,5000,,dbpedia_14,
dbpedia_14_e5,0.8120888129067614,0.82,0.8129882254969352,5000,,dbpedia_14,
dbpedia_14_instructor,0.8190293116070801,0.8348,0.8201059260166589,5000,,dbpedia_14,
dbpedia_14_jina_v5,0.7653087346689347,0.7784,0.7654223558976194,5000,,dbpedia_14,
dbpedia_14_mpnet,0.77805848733229,0.7936,0.7819064153326449,5000,,dbpedia_14,
dbpedia_14_qwen3,0.8355358098355923,0.8424,0.8358996810062564,5000,,dbpedia_14,
dbpedia_14_snowflake,0.7226884181803763,0.75,0.7256032291742788,5000,,dbpedia_14,
e5_full,0.8427268884051443,0.844078947368421,0.8427268884051443,7600,,ag_news,
goemotions_instructor_large,0.20410344994785096,0.192,0.18631712938933676,1000,,go_emotions,
goemotions_snowflake,0.045253514687777184,0.067,0.04408935469488491,1000,,go_emotions,
go_emotions_bge,0.20154417634796987,0.217,0.20578815206209533,1000,,go_emotions,
go_emotions_e5,0.17424274886960925,0.164,0.15265603803897185,1000,,go_emotions,
go_emotions_instructor,0.20410344994785096,0.192,0.18631712938933676,1000,,go_emotions,
go_emotions_jina_v5,0.2244141567117999,0.212,0.19527404872238,1000,,go_emotions,
go_emotions_snowflake,0.045253514687777184,0.067,0.04408935469488491,1000,,go_emotions,
jina_v5_full,0.7980407707234523,0.8027631578947368,0.7980407707234523,7600,,ag_news,
mpnet_full,0.8143655974116213,0.8167105263157894,0.8143655974116212,7600,,ag_news,
qwen3_full,0.7817002605695711,0.7846052631578947,0.7817002605695711,7600,,ag_news,
SetFit_20_newsgroups_bge,0.5147979412018749,0.5238,0.528233134065229,5000,,SetFit/20_newsgroups,
SetFit_20_newsgroups_e5,0.5050011584009052,0.5174,0.5196363539942778,5000,,SetFit/20_newsgroups,
SetFit_20_newsgroups_instructor,0.6040965422182832,0.6238,0.6203205941414944,5000,,SetFit/20_newsgroups,
